id,tweet_text,tweet_created,source,favorite_count,retweet_count
1192138541683183617,2 Many ISI agents arr ,2019-11-06 17:55:51,Twitter for Android,0,447
1192138540630433792,RT cbcmarketplace Some of the scam calls appearing to come from government agencies tell potential victims that their social insuranc ,2019-11-06 17:55:51,Twitter for iPhone,0,20
1192138539745587200,RT CrisisTextLine Happy one year to our Canada branch of Crisis Text Line Here s to many more ,2019-11-06 17:55:51,Hootsuite Inc.,0,6
1192138528110440448, VivienneJaneA BrettAdam72 WSJ greg ip Ah yes Vivienne the waits that are created by a triage system that ,2019-11-06 17:55:48,Twitter Web App,0,0
1192138527917662208, mattprince1969 I observed what I think was a S triangulosa in a stairway in an apartment building in Toronto Can ,2019-11-06 17:55:48,Twitter Web App,0,0
1192138524956512256,RT PLKingsCCHL Congrats to ReeceProulx1 as he s part of the CCHL PR squad that defeated LHJAAAQ last night in Terrebonne PQ Part ,2019-11-06 17:55:47,Twitter for iPhone,0,3
1192138520426696704,Job opportunity just launched Seeking a locally engaged Development Officer Analyst at the Embassy of Canada in Ho ,2019-11-06 17:55:46,Twitter for iPhone,0,0
1192138516966166528,SnitchSeeker readers in the U S Canada follow SnitchSeeker now amp RT this post for the chance to win a Ha ,2019-11-06 17:55:45,Twitter for Android,0,2
1192138513124335617,RT NatCitizens NICE COUNTRIES FINISH LAST Trudeau s Canada is too nice to fight for Western jobs too nice to stand up to Communist Chin ,2019-11-06 17:55:45,TweetDeck,0,11
1192138508351098881,2 Many ISI agents arr ,2019-11-06 17:55:43,Twitter for Android,0,447
1192138507680198658, mwtravelnetwork A5 I like to create bingo cards w things we might see along the way I like to insert them into t ,2019-11-06 17:55:43,Twitter Web App,1,0
1192138496766443521, quadrupleloops I wonder if skate Canada granted him filming privileges without ISU being aware of it ,2019-11-06 17:55:41,Twitter for iPhone,0,0
1192138496309370880,I ,2019-11-06 17:55:41,Twitter for Android,0,27
1192138495965483009,RT needlsJustin A8 1 2 Saturation is a sign of opportunity it s a sign to evolve learn build and grow your brand and product Target n ,2019-11-06 17:55:40,Twitter Web App,0,1
1192138495118196738, Shuaibabba Hi Shuaibabba we help people interested in travelling abroad do so by providing them experts that wil ,2019-11-06 17:55:40,TweetDeck,0,0
1192138493151129600,Bikini Kill hit Canada on North American tour ,2019-11-06 17:55:40,Twitter Web App,0,0
1192138493151121408,RT honeybadger the CTVNews A leader on the world stage wore blackface three times that we know of He s still the PM of Canada Your ,2019-11-06 17:55:40,Twitter Web App,0,3
1192138492177862658,RT DestinationCAN After 5 years as President and CEO of Destination Canada we d like to say thank you to DavidFGoldstein as he embarks ,2019-11-06 17:55:40,Twitter Web App,0,5
